,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,FALSE
Wooper,Water,Ground,Damp,Water Absorb,Unaware,Water 1,Field,021,5355,55,45,45,25,25,15,210,35.00,FALSE
Quagsire,Water,Ground,Damp,Water Absorb,Unaware,Water 1,Field,021,5355,95,85,85,65,65,35,430,71.67,FALSE
Espeon,Psychic,—,Synchronize,—,Magic Bounce,Field,—,036,9180,65,65,60,130,95,110,525,87.50,FALSE
Umbreon,Dark,—,Synchronize,—,Inner Focus,Field,—,036,9180,95,65,110,60,130,65,525,87.50,FALSE
Murkrow,Dark,Flying,Insomnia,Super Luck*,Prankster,Flying,—,021,5355,60,85,42,85,42,91,405,67.50,FALSE
Slowking,Water,Psychic,Oblivious,Own Tempo,Regenerator,Monster,Water 1,021,5355,95,75,80,100,110,30,490,81.67,FALSE
Misdreavus,Ghost,—,Levitate,—,—,Amorphous,—,026,6630,60,60,60,85,85,85,435,72.50,FALSE
Unown,Psychic,—,Levitate,—,—,Undiscovered,—,041,10455,48,72,48,72,48,48,336,56.00,FALSE
Wobbuffet,Psychic,—,Shadow Tag,—,Telepathy,Amorphous,—,021,5355,190,33,58,33,58,33,405,67.50,FALSE
Girafarig,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,Field,—,021,5355,70,80,65,90,65,85,455,75.83,FALSE
Pineco,Bug,—,Sturdy,—,Overcoat,Bug,—,021,5355,50,65,90,35,35,15,290,48.33,FALSE
Forretress,Bug,Steel,Sturdy,—,Overcoat,Bug,—,021,5355,75,90,140,60,60,40,465,77.50,FALSE
Dunsparce,Normal,—,Serene Grace,Run Away,Rattled,Field,—,021,5355,100,70,70,65,65,45,415,69.17,FALSE
Gligar,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,Bug,—,021,5355,65,75,105,35,65,85,430,71.67,FALSE
Steelix,Steel,Ground,Rock Head,Sturdy,Sheer Force,Mineral,—,026,6630,75,85,200,55,65,30,510,85.00,FALSE
Snubbull,Fairy,—,Intimidate,Run Away,Rattled,Field,Fairy,021,5355,60,80,50,40,40,30,300,50.00,FALSE
Granbull,Fairy,—,Intimidate,Quick Feet*,Rattled,Field,Fairy,021,5355,90,120,75,60,60,45,450,75.00,FALSE
Qwilfish,Water,Poison,Poison Point,Swift Swim,Intimidate,Water 2,—,021,5355,65,95,85,55,55,85,440,73.33,FALSE
Scizor,Bug,Steel,Swarm,Technician*,Light Metal,Bug,—,026,6630,70,130,100,55,80,65,500,83.33,FALSE
Shuckle,Bug,Rock,Sturdy,Gluttony*,Contrary,Bug,—,021,5355,20,10,230,10,230,5,505,84.17,FALSE
Heracross,Bug,Fighting,Swarm,Guts,Moxie,Bug,—,026,6630,80,125,75,40,95,85,500,83.33,FALSE
Sneasel,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,Field,—,021,5355,55,95,55,35,75,115,430,71.67,FALSE
Teddiursa,Normal,—,Pickup,Quick Feet*,Honey Gather,Field,—,021,5355,60,80,50,50,50,40,330,55.00,FALSE
Ursaring,Normal,—,Guts,Quick Feet*,Unnerve,Field,—,021,5355,90,130,75,75,75,55,500,83.33,FALSE
Slugma,Fire,—,Magma Armor,Flame Body,Weak Armor,Amorphous,—,021,5355,40,40,40,70,40,20,250,41.67,FALSE
Magcargo,Fire,Rock,Magma Armor,Flame Body,Weak Armor,Amorphous,—,021,5355,60,50,120,90,80,30,430,71.67,FALSE
Swinub,Ice,Ground,Oblivious,Snow Cloak*,Thick Fat,Field,—,021,5355,50,50,40,30,30,50,250,41.67,FALSE
Piloswine,Ice,Ground,Oblivious,Snow Cloak*,Thick Fat,Field,—,021,5355,100,100,80,60,60,50,450,75.00,FALSE
Corsola,Water,Rock,Hustle,Natural Cure,Regenerator,Water 1,Water 3,021,5355,65,55,95,65,95,35,410,68.33,FALSE
Remoraid,Water,—,Hustle,Sniper*,Moody,Water 1,Water 2,021,5355,35,65,35,65,35,65,300,50.00,FALSE
Octillery,Water,—,Suction Cups,Sniper*,Moody,Water 1,Water 2,021,5355,75,105,75,105,75,45,480,80.00,FALSE
Delibird,Ice,Flying,Vital Spirit,Hustle,Insomnia,Water 1,Field,021,5355,45,55,45,65,45,75,330,55.00,FALSE
Mantine,Water,Flying,Swift Swim,Water Absorb,Water Veil,Water 1,—,026,6630,85,40,70,80,140,70,485,80.83,FALSE
Skarmory,Steel,Flying,Keen Eye,Sturdy,Weak Armor,Flying,—,026,6630,65,80,140,40,70,70,465,77.50,FALSE
Houndour,Dark,Fire,Early Bird,Flash Fire,Unnerve,Field,—,021,5355,45,60,30,80,50,65,330,55.00,FALSE
Houndoom,Dark,Fire,Early Bird,Flash Fire,Unnerve,Field,—,021,5355,75,90,50,110,80,95,500,83.33,FALSE
Kingdra,Water,Dragon,Swift Swim,Sniper*,Damp,Water 1,Dragon,021,5355,75,95,95,95,95,85,540,90.00,FALSE
Phanpy,Ground,—,Pickup,—,Sand Veil,Field,—,021,5355,90,60,60,40,40,40,330,55.00,FALSE
Donphan,Ground,—,Sturdy,—,Sand Veil,Field,—,021,5355,90,120,120,60,60,50,500,83.33,FALSE
Porygon2,Normal,—,Trace,Download*,Analytic,Mineral,—,021,5355,85,80,90,105,95,60,515,85.83,FALSE
Stantler,Normal,—,Intimidate,Frisk*,Sap Sipper,Field,—,021,5355,73,95,62,85,65,85,465,77.50,FALSE
Smeargle,Normal,—,Own Tempo,Technician*,Moody,Field,—,021,5355,55,20,35,20,45,75,250,41.67,FALSE
Tyrogue,Fighting,—,Guts,Steadfast*,Vital Spirit,Undiscovered,—,026,6630,35,35,35,35,35,35,210,35.00,FALSE
Hitmontop,Fighting,—,Intimidate,Technician*,Steadfast,Human-Like,—,026,6630,50,95,95,35,110,70,455,75.83,FALSE
Smoochum,Ice,Psychic,Oblivious,Forewarn*,Hydration,Undiscovered,—,026,6630,45,30,15,85,65,65,305,50.83,FALSE
Elekid,Electric,—,Static,—,Vital Spirit,Undiscovered,—,026,6630,45,63,37,65,55,95,360,60.00,FALSE
Magby,Fire,—,Flame Body,—,Vital Spirit,Undiscovered,—,026,6630,45,75,37,70,55,83,365,60.83,FALSE
Miltank,Normal,—,Thick Fat,Scrappy*,Sap Sipper,Field,—,021,5355,95,80,105,40,70,100,490,81.67,FALSE
Blissey,Normal,—,Natural Cure,Serene Grace,Healer,Fairy,—,041,10455,255,10,10,75,135,55,540,90.00,FALSE
Raikou,Electric,—,Pressure,—,Volt Absorb,Undiscovered,—,081,20655,90,85,75,115,100,115,580,96.67,FALSE
Entei,Fire,—,Pressure,—,Flash Fire,Undiscovered,—,081,20655,115,115,85,90,75,100,580,96.67,FALSE
Suicune,Water,—,Pressure,—,Water Absorb,Undiscovered,—,081,20655,100,75,115,90,115,85,580,96.67,FALSE
Larvitar,Rock,Ground,Guts,—,Sand Veil,Monster,—,041,10455,50,64,50,45,50,41,300,50.00,FALSE
Pupitar,Rock,Ground,Shed Skin,—,—,Monster,—,041,10455,70,84,70,65,70,51,410,68.33,FALSE
Tyranitar,Rock,Dark,Sand Stream,—,Unnerve,Monster,—,041,10455,100,134,110,95,100,61,600,100.00,FALSE
Lugia,Psychic,Flying,Pressure,—,Multiscale,Undiscovered,—,121,30855,106,90,130,90,154,110,680,113.33,FALSE
Ho-Oh,Fire,Flying,Pressure,—,Regenerator,Undiscovered,—,121,30855,106,130,90,110,154,90,680,113.33,FALSE
Celebi,Psychic,Grass,Natural Cure,—,—,Undiscovered,—,121,30855,100,100,100,100,100,100,600,100.00,FALSE
Treecko,Grass,—,Overgrow,—,Unburden,Monster,Dragon,021,5355,40,45,35,65,55,70,310,51.67,FALSE
Grovyle,Grass,—,Overgrow,—,Unburden,Monster,Dragon,021,5355,50,65,45,85,65,95,405,67.50,FALSE
Sceptile,Grass,—,Overgrow,—,Unburden,Monster,Dragon,021,5355,70,85,65,105,85,120,530,88.33,FALSE
Torchic,Fire,—,Blaze,—,Speed Boost,Field,—,021,5355,45,60,40,70,50,45,310,51.67,FALSE
Combusken,Fire,Fighting,Blaze,—,Speed Boost,Field,—,021,5355,60,85,60,85,60,55,405,67.50,FALSE
Blaziken,Fire,Fighting,Blaze,—,Speed Boost,Field,—,021,5355,80,120,70,110,70,80,530,88.33,FALSE
Mudkip,Water,—,Torrent,—,Damp,Monster,Water 1,021,5355,50,70,50,50,50,40,310,51.67,FALSE
Marshtomp,Water,Ground,Torrent,—,Damp,Monster,Water 1,021,5355,70,85,70,60,70,50,405,67.50,FALSE
Swampert,Water,Ground,Torrent,—,Damp,Monster,Water 1,021,5355,100,110,90,85,90,60,535,89.17,FALSE
Poochyena,Dark,—,Run Away,Quick Feet*,Rattled,Field,—,016,4080,35,55,35,30,30,35,220,36.67,FALSE
Mightyena,Dark,—,Intimidate,Quick Feet*,Moxie,Field,—,016,4080,70,90,70,60,60,70,420,70.00,FALSE
Zigzagoon,Normal,—,Pickup,Gluttony*,Quick Feet,Field,—,016,4080,38,30,41,30,41,60,240,40.00,FALSE
Linoone,Normal,—,Pickup,Gluttony*,Quick Feet,Field,—,016,4080,78,70,61,50,61,100,420,70.00,FALSE
Wurmple,Bug,—,Shield Dust,—,Run Away,Bug,—,016,4080,45,45,35,20,30,20,195,32.50,FALSE
Silcoon,Bug,—,Shed Skin,—,—,Bug,—,016,4080,50,35,55,25,25,15,205,34.17,FALSE
Beautifly,Bug,Flying,Swarm,—,Rivalry,Bug,—,016,4080,60,70,50,100,50,65,395,65.83,FALSE
Cascoon,Bug,—,Shed Skin,—,—,Bug,—,016,4080,50,35,55,25,25,15,205,34.17,FALSE
Dustox,Bug,Poison,Shield Dust,—,Compound Eyes,Bug,—,016,4080,60,50,70,50,90,65,385,64.17,FALSE
Lotad,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass,016,4080,40,30,30,40,50,30,220,36.67,FALSE
Lombre,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass,016,4080,60,50,50,60,70,50,340,56.67,FALSE
Ludicolo,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass,016,4080,80,70,70,90,100,70,480,80.00,FALSE
Seedot,Grass,—,Chlorophyll,Early Bird,Pickpocket,Field,Grass,016,4080,40,40,50,30,30,30,220,36.67,FALSE
Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Field,Grass,016,4080,70,70,40,60,40,60,340,56.67,FALSE
Shiftry,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Field,Grass,016,4080,90,100,60,90,60,80,480,80.00,FALSE
Taillow,Normal,Flying,Guts,—,Scrappy,Flying,—,016,4080,40,55,30,30,30,85,270,45.00,FALSE
Swellow,Normal,Flying,Guts,—,Scrappy,Flying,—,016,4080,60,85,60,75,50,125,455,75.83,FALSE
Wingull,Water,Flying,Keen Eye,—,Rain Dish,Water 1,Flying,021,5355,40,30,30,55,30,85,270,45.00,FALSE
Pelipper,Water,Flying,Keen Eye,—,Rain Dish,Water 1,Flying,021,5355,60,50,100,95,70,65,440,73.33,FALSE
Ralts,Psychic,Fairy,Synchronize,Trace,Telepathy,Amorphous,—,021,5355,28,25,25,45,35,40,198,33.00,FALSE
Kirlia,Psychic,Fairy,Synchronize,Trace,Telepathy,Amorphous,—,021,5355,38,35,35,65,55,50,278,46.33,FALSE
Gardevoir,Psychic,Fairy,Synchronize,Trace,Telepathy,Amorphous,—,021,5355,68,65,65,125,115,80,518,86.33,FALSE
Surskit,Bug,Water,Swift Swim,—,Rain Dish,Water 1,Bug,016,4080,40,30,32,50,52,65,269,44.83,FALSE
Masquerain,Bug,Flying,Intimidate,—,Unnerve,Water 1,Bug,016,4080,70,60,62,100,82,60,434,72.33,FALSE
Shroomish,Grass,—,Effect Spore,Poison Heal*,Quick Feet,Fairy,Grass,016,4080,60,40,60,40,60,35,295,49.17,FALSE
Breloom,Grass,Fighting,Effect Spore,Poison Heal*,Technician,Fairy,Grass,016,4080,60,130,80,60,60,70,460,76.67,FALSE
Slakoth,Normal,—,Truant,—,—,Field,—,016,4080,60,60,60,35,35,30,280,46.67,FALSE
Vigoroth,Normal,—,Vital Spirit,—,—,Field,—,016,4080,80,80,80,55,55,90,440,73.33,FALSE
Slaking,Normal,—,Truant,—,—,Field,—,016,4080,150,160,100,95,65,100,670,111.67,FALSE
Nincada,Bug,Ground,Compound Eyes,—,Run Away,Bug,—,016,4080,31,45,90,30,30,40,266,44.33,FALSE
Ninjask,Bug,Flying,Speed Boost,—,Infiltrator,Bug,—,016,4080,61,90,45,50,50,160,456,76.00,FALSE
Shedinja,Bug,Ghost,Wonder Guard,—,Wonder Guard,Mineral,—,016,4080,1,90,45,30,30,40,236,39.33,FALSE
Whismur,Normal,—,Soundproof,—,Rattled,Monster,Field,021,5355,64,51,23,51,23,28,240,40.00,FALSE
Loudred,Normal,—,Soundproof,—,Scrappy,Monster,Field,021,5355,84,71,43,71,43,48,360,60.00,FALSE
Exploud,Normal,—,Soundproof,—,Scrappy,Monster,Field,021,5355,104,91,63,91,73,68,490,81.67,FALSE
Makuhita,Fighting,—,Thick Fat,Guts,Sheer Force,Human-Like,—,021,5355,72,60,30,20,30,25,237,39.50,FALSE
Hariyama,Fighting,—,Thick Fat,Guts,Sheer Force,Human-Like,—,021,5355,144,120,60,40,60,50,474,79.00,FALSE
Azurill,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Undiscovered,—,011,2805,50,20,40,20,40,20,190,31.67,FALSE
Nosepass,Rock,—,Sturdy,Magnet Pull,Sand Force,Mineral,—,021,5355,30,45,135,45,90,30,375,62.50,FALSE
Skitty,Normal,—,Cute Charm,Normalize*,Wonder Skin,Field,Fairy,016,4080,50,45,45,35,35,50,260,43.33,FALSE
Delcatty,Normal,—,Cute Charm,Normalize*,Wonder Skin,Field,Fairy,016,4080,70,65,65,55,55,90,400,66.67,FALSE
Sableye,Dark,Ghost,Keen Eye,Stall*,Prankster,Human-Like,—,026,6630,50,75,75,65,65,50,380,63.33,FALSE
Mawile,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Field,Fairy,021,5355,50,85,85,55,55,50,380,63.33,FALSE
Aron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Monster,—,036,9180,50,70,100,40,40,30,330,55.00,FALSE
Lairon,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Monster,—,036,9180,60,90,140,50,50,40,430,71.67,FALSE
Aggron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Monster,—,036,9180,70,110,180,60,60,50,530,88.33,FALSE
Meditite,Fighting,Psychic,Pure Power,—,Telepathy,Human-Like,—,021,5355,30,40,55,40,55,60,280,46.67,FALSE
Medicham,Fighting,Psychic,Pure Power,—,Telepathy,Human-Like,—,021,5355,60,60,75,60,75,80,410,68.33,FALSE
Electrike,Electric,—,Static,Lightning Rod,Minus,Field,—,021,5355,40,45,40,65,40,65,295,49.17,FALSE
Manectric,Electric,—,Static,Lightning Rod,Minus,Field,—,021,5355,70,75,60,105,60,105,475,79.17,FALSE
Plusle,Electric,—,Plus,—,Lightning Rod,Fairy,—,021,5355,60,50,40,85,75,95,405,67.50,FALSE
Minun,Electric,—,Minus,—,Volt Absorb,Fairy,—,021,5355,60,40,50,75,85,95,405,67.50,FALSE
Volbeat,Bug,—,Illuminate,Swarm,Prankster,Bug,Human-Like,016,4080,65,73,75,47,85,85,430,71.67,FALSE
Illumise,Bug,—,Oblivious,Tinted Lens*,Prankster,Bug,Human-Like,016,4080,65,47,75,73,85,85,430,71.67,FALSE
Roselia,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Fairy,Grass,021,5355,50,60,45,100,80,65,400,66.67,FALSE
Gulpin,Poison,—,Liquid Ooze,Sticky Hold,Gluttony,Amorphous,—,021,5355,70,43,53,43,53,40,302,50.33,FALSE
Swalot,Poison,—,Liquid Ooze,Sticky Hold,Gluttony,Amorphous,—,021,5355,100,73,83,73,83,55,467,77.83,FALSE
Carvanha,Water,Dark,Rough Skin,—,Speed Boost,Water 2,—,021,5355,45,90,20,65,20,65,305,50.83,FALSE
Sharpedo,Water,Dark,Rough Skin,—,Speed Boost,Water 2,—,021,5355,70,120,40,95,40,95,460,76.67,FALSE
Wailmer,Water,—,Water Veil,Oblivious,Pressure,Field,Water 2,041,10455,130,70,35,70,35,60,400,66.67,FALSE
Wailord,Water,—,Water Veil,Oblivious,Pressure,Field,Water 2,041,10455,170,90,45,90,45,60,500,83.33,FALSE
Numel,Fire,Ground,Oblivious,Simple*,Own Tempo,Field,—,021,5355,60,60,40,65,45,35,305,50.83,FALSE
Camerupt,Fire,Ground,Magma Armor,Solid Rock*,Anger Point,Field,—,021,5355,70,100,70,105,75,40,460,76.67,FALSE
Torkoal,Fire,—,White Smoke,—,Shell Armor,Field,—,021,5355,70,85,140,85,70,20,470,78.33,FALSE
Spoink,Psychic,—,Thick Fat,Own Tempo,Gluttony,Field,—,021,5355,60,25,35,70,80,60,330,55.00,FALSE
Grumpig,Psychic,—,Thick Fat,Own Tempo,Gluttony,Field,—,021,5355,80,45,65,90,110,80,470,78.33,FALSE
Spinda,Normal,—,Own Tempo,Tangled Feet*,Contrary,Field,Human-Like,021,5355,60,60,60,60,60,60,360,60.00,FALSE
Trapinch,Ground,—,Hyper Cutter,Arena Trap,Sheer Force,Bug,—,021,5355,45,100,45,45,45,10,290,48.33,FALSE
Vibrava,Ground,Dragon,Levitate,—,—,Bug,—,021,5355,50,70,50,50,50,70,340,56.67,FALSE
Flygon,Ground,Dragon,Levitate,—,—,Bug,—,021,5355,80,100,80,80,80,100,520,86.67,FALSE
Cacnea,Grass,—,Sand Veil,—,Water Absorb,Grass,Human-Like,021,5355,50,85,40,85,40,35,335,55.83,FALSE
Cacturne,Grass,Dark,Sand Veil,—,Water Absorb,Grass,Human-Like,021,5355,70,115,60,115,60,55,475,79.17,FALSE
Swablu,Normal,Flying,Natural Cure,—,Cloud Nine,Flying,Dragon,021,5355,45,40,60,40,75,50,310,51.67,FALSE
Altaria,Dragon,Flying,Natural Cure,—,Cloud Nine,Flying,Dragon,021,5355,75,70,90,70,105,80,490,81.67,FALSE
Zangoose,Normal,—,Immunity,—,Toxic Boost,Field,—,021,5355,73,115,60,60,60,90,458,76.33,FALSE
Seviper,Poison,—,Shed Skin,—,Infiltrator,Field,Dragon,021,5355,73,100,60,100,60,65,458,76.33,FALSE
Lunatone,Rock,Psychic,Levitate,—,—,Mineral,—,026,6630,90,55,65,95,85,70,460,76.67,FALSE
Solrock,Rock,Psychic,Levitate,—,—,Mineral,—,026,6630,90,95,85,55,65,70,460,76.67,FALSE
Barboach,Water,Ground,Oblivious,Anticipation*,Hydration,Water 2,—,021,5355,50,48,43,46,41,60,288,48.00,FALSE
Whiscash,Water,Ground,Oblivious,Anticipation*,Hydration,Water 2,—,021,5355,110,78,73,76,71,60,468,78.00,FALSE
Corphish,Water,—,Hyper Cutter,Shell Armor,Adaptability,Water 1,Water 3,021,5355,43,80,65,50,35,35,308,51.33,FALSE
Crawdaunt,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,Water 1,Water 3,021,5355,63,120,85,90,55,55,468,78.00,FALSE
Baltoy,Ground,Psychic,Levitate,—,—,Mineral,—,021,5355,40,40,55,40,70,55,300,50.00,FALSE
Claydol,Ground,Psychic,Levitate,—,—,Mineral,—,021,5355,60,70,105,70,120,75,500,83.33,FALSE
Lileep,Rock,Grass,Suction Cups,—,Storm Drain,Water 3,—,031,7905,66,41,77,61,87,23,355,59.17,FALSE
Cradily,Rock,Grass,Suction Cups,—,Storm Drain,Water 3,—,031,7905,86,81,97,81,107,43,495,82.50,FALSE
Anorith,Rock,Bug,Battle Armor,—,Swift Swim,Water 3,—,031,7905,45,95,50,40,50,75,355,59.17,FALSE
Armaldo,Rock,Bug,Battle Armor,—,Swift Swim,Water 3,—,031,7905,75,125,100,70,80,45,495,82.50,FALSE
Feebas,Water,—,Swift Swim,Oblivious*,Adaptability,Water 1,Dragon,021,5355,20,15,20,10,55,80,200,33.33,FALSE
Milotic,Water,—,Marvel Scale,Competitive*,Cute Charm,Water 1,Dragon,021,5355,95,60,79,100,125,81,540,90.00,FALSE
Castform,Normal,—,Forecast,—,—,Fairy,Amorphous,026,6630,70,70,70,70,70,70,420,70.00,FALSE
Kecleon,Normal,—,Color Change,—,Protean,Field,—,021,5355,60,90,70,60,120,40,440,73.33,FALSE
Shuppet,Ghost,—,Insomnia,Frisk*,Cursed Body,Amorphous,—,026,6630,44,75,35,63,33,45,295,49.17,FALSE
Banette,Ghost,—,Insomnia,Frisk*,Cursed Body,Amorphous,—,026,6630,64,115,65,83,63,65,455,75.83,FALSE
Duskull,Ghost,—,Levitate,—,Frisk,Amorphous,—,026,6630,20,40,90,30,90,25,295,49.17,FALSE
Dusclops,Ghost,—,Pressure,—,Frisk,Amorphous,—,026,6630,40,70,130,60,130,25,455,75.83,FALSE
Tropius,Grass,Flying,Chlorophyll,Solar Power*,Harvest,Monster,Grass,026,6630,99,68,83,72,87,51,460,76.67,FALSE
Chimecho,Psychic,—,Levitate,—,—,Amorphous,—,026,6630,75,50,80,95,90,65,455,75.83,FALSE
Absol,Dark,—,Pressure,Super Luck*,Justified,Field,—,026,6630,65,130,60,75,60,75,465,77.50,FALSE
Wynaut,Psychic,—,Shadow Tag,—,Telepathy,Undiscovered,—,021,5355,95,23,48,23,48,23,260,43.33,FALSE
Snorunt,Ice,—,Inner Focus,Ice Body*,Moody,Fairy,Mineral,021,5355,50,50,50,50,50,50,300,50.00,FALSE
Glalie,Ice,—,Inner Focus,Ice Body*,Moody,Fairy,Mineral,021,5355,80,80,80,80,80,80,480,80.00,FALSE
Spheal,Ice,Water,Thick Fat,Ice Body*,Oblivious,Water 1,Field,021,5355,70,40,50,55,50,25,290,48.33,FALSE
Sealeo,Ice,Water,Thick Fat,Ice Body*,Oblivious,Water 1,Field,021,5355,90,60,70,75,70,45,410,68.33,FALSE
Walrein,Ice,Water,Thick Fat,Ice Body*,Oblivious,Water 1,Field,021,5355,110,80,90,95,90,65,530,88.33,FALSE
Clamperl,Water,—,Shell Armor,—,Rattled,Water 1,—,021,5355,35,64,85,74,55,32,345,57.50,FALSE
Huntail,Water,—,Swift Swim,—,Water Veil,Water 1,—,021,5355,55,104,105,94,75,52,485,80.83,FALSE
Gorebyss,Water,—,Swift Swim,—,Hydration,Water 1,—,021,5355,55,84,105,114,75,52,485,80.83,FALSE
Relicanth,Water,Rock,Swift Swim,Rock Head,Sturdy,Water 1,Water 2,041,10455,100,90,130,45,65,55,485,80.83,FALSE
Luvdisc,Water,—,Swift Swim,—,Hydration,Water 2,—,021,5355,43,30,55,40,65,97,330,55.00,FALSE
Bagon,Dragon,—,Rock Head,—,Sheer Force,Dragon,—,041,10455,45,75,60,40,30,50,300,50.00,FALSE
Shelgon,Dragon,—,Rock Head,—,Overcoat,Dragon,—,041,10455,65,95,100,60,50,50,420,70.00,FALSE
Salamence,Dragon,Flying,Intimidate,—,Moxie,Dragon,—,041,10455,95,135,80,110,80,100,600,100.00,FALSE
Beldum,Steel,Psychic,Clear Body,—,Light Metal,Mineral,—,041,10455,40,55,80,35,60,30,300,50.00,FALSE
Metang,Steel,Psychic,Clear Body,—,Light Metal,Mineral,—,041,10455,60,75,100,55,80,50,420,70.00,FALSE
Metagross,Steel,Psychic,Clear Body,—,Light Metal,Mineral,—,041,10455,80,135,130,95,90,70,600,100.00,FALSE
Regirock,Rock,—,Clear Body,—,Sturdy,Undiscovered,—,081,20655,80,100,200,50,100,50,580,96.67,FALSE
Regice,Ice,—,Clear Body,—,Ice Body,Undiscovered,—,081,20655,80,50,100,100,200,50,580,96.67,FALSE
Registeel,Steel,—,Clear Body,—,Light Metal,Undiscovered,—,081,20655,80,75,150,75,150,50,580,96.67,FALSE
Latias,Dragon,Psychic,Levitate,—,—,Undiscovered,—,121,30855,80,80,90,110,130,110,600,100.00,FALSE
Latios,Dragon,Psychic,Levitate,—,—,Undiscovered,—,121,30855,80,90,80,130,110,110,600,100.00,FALSE
Kyogre,Water,—,Drizzle,—,—,Undiscovered,—,121,30855,100,100,90,150,140,90,670,111.67,FALSE
Groudon,Ground,—,Drought,—,—,Undiscovered,—,121,30855,100,150,140,100,90,90,670,111.67,FALSE
Rayquaza,Dragon,Flying,Air Lock,—,—,Undiscovered,—,121,30855,105,150,90,150,90,95,680,113.33,FALSE
Jirachi,Steel,Psychic,Serene Grace,—,—,Undiscovered,—,121,30855,100,100,100,100,100,100,600,100.00,FALSE
Deoxys,Psychic,—,Pressure,—,—,Undiscovered,—,121,30855,50,150,50,150,50,150,600,100.00,FALSE
Turtwig,Grass,—,Overgrow,—,Shell Armor,Monster,Grass,021,5355,55,68,64,45,55,31,318,53.00,FALSE
Grotle,Grass,—,Overgrow,—,Shell Armor,Monster,Grass,021,5355,75,89,85,55,65,36,405,67.50,FALSE
Torterra,Grass,Ground,Overgrow,—,Shell Armor,Monster,Grass,021,5355,95,109,105,75,85,56,525,87.50,FALSE
Chimchar,Fire,—,Blaze,—,Iron Fist,Field,Human-Like,021,5355,44,58,44,58,44,61,309,51.50,FALSE
Monferno,Fire,Fighting,Blaze,—,Iron Fist,Field,Human-Like,021,5355,64,78,52,78,52,81,405,67.50,FALSE
Infernape,Fire,Fighting,Blaze,—,Iron Fist,Field,Human-Like,021,5355,76,104,71,104,71,108,534,89.00,FALSE
Piplup,Water,—,Torrent,—,Defiant,Water 1,Field,021,5355,53,51,53,61,56,40,314,52.33,FALSE
Prinplup,Water,—,Torrent,—,Defiant,Water 1,Field,021,5355,64,66,68,81,76,50,405,67.50,FALSE
Empoleon,Water,Steel,Torrent,—,Defiant,Water 1,Field,021,5355,84,86,88,111,101,60,530,88.33,FALSE
Starly,Normal,Flying,Keen Eye,—,Reckless,Flying,—,016,4080,40,55,30,30,30,60,245,40.83,FALSE
Staravia,Normal,Flying,Intimidate,—,Reckless,Flying,—,016,4080,55,75,50,40,40,80,340,56.67,FALSE
Staraptor,Normal,Flying,Intimidate,—,Reckless,Flying,—,016,4080,85,120,70,50,60,100,485,80.83,FALSE
Bidoof,Normal,—,Simple,Unaware,Moody,Water 1,Field,016,4080,59,45,40,35,40,31,250,41.67,FALSE
Bibarel,Normal,Water,Simple,Unaware,Moody,Water 1,Field,016,4080,79,85,60,55,60,71,410,68.33,FALSE
Kricketot,Bug,—,Shed Skin,—,Run Away,Bug,—,016,4080,37,25,41,25,41,25,194,32.33,FALSE
Kricketune,Bug,—,Swarm,—,Technician,Bug,—,016,4080,77,85,51,55,51,65,384,64.00,FALSE
Shinx,Electric,—,Rivalry,Intimidate,Guts,Field,—,021,5355,45,65,34,40,34,45,263,43.83,FALSE
Luxio,Electric,—,Rivalry,Intimidate,Guts,Field,—,021,5355,60,85,49,60,49,60,363,60.50,FALSE
Luxray,Electric,—,Rivalry,Intimidate,Guts,Field,—,021,5355,80,120,79,95,79,70,523,87.17,FALSE
Budew,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Undiscovered,—,021,5355,40,30,35,50,70,55,280,46.67,FALSE
Roserade,Grass,Poison,Natural Cure,Poison Point,Technician,Fairy,Grass,021,5355,60,70,65,125,105,90,515,85.83,FALSE
Cranidos,Rock,—,Mold Breaker,—,Sheer Force,Monster,—,031,7905,67,125,40,30,30,58,350,58.33,FALSE
Rampardos,Rock,—,Mold Breaker,—,Sheer Force,Monster,—,031,7905,97,165,60,65,50,58,495,82.50,FALSE
Shieldon,Rock,Steel,Sturdy,—,Soundproof,Monster,—,031,7905,30,42,118,42,88,30,350,58.33,FALSE
Bastiodon,Rock,Steel,Sturdy,—,Soundproof,Monster,—,031,7905,60,52,168,47,138,30,495,82.50,FALSE
